date,price_per_sqm,year,eur_ron_rate,price_per_sqm_lei
2021-12-01,1385.0,2021,4.9212,6815.86
2022-01-01,1392.0,2022,4.9307,6863.53
2022-02-01,1419.0,2022,4.9307,6996.66
2022-03-01,1452.0,2022,4.9307,7159.38
2022-04-01,1461.0,2022,4.9307,7203.75
2022-05-01,1473.0,2022,4.9307,7262.92
2022-06-01,1493.0,2022,4.9307,7361.54
2022-07-01,1491.0,2022,4.9307,7351.67
2022-08-01,1464.0,2022,4.9307,7218.54
2022-09-01,1451.0,2022,4.9307,7154.45
2022-10-01,1456.0,2022,4.9307,7179.1
2022-11-01,1448.0,2022,4.9307,7139.65
2022-12-01,1453.0,2022,4.9307,7164.31
2023-01-01,1444.0,2023,4.9482,7145.2
2023-02-01,1465.0,2023,4.9482,7249.11
2023-03-01,1484.0,2023,4.9482,7343.13
2023-04-01,1480.0,2023,4.9482,7323.34
2023-05-01,1500.0,2023,4.9482,7422.3
2023-06-01,1496.0,2023,4.9482,7402.51
2023-07-01,1460.0,2023,4.9482,7224.37
2023-08-01,1462.0,2023,4.9482,7234.27
2023-09-01,1491.0,2023,4.9482,7377.77
2023-10-01,1513.0,2023,4.9482,7486.63
2023-11-01,1517.0,2023,4.9482,7506.42
2023-12-01,1515.0,2023,4.9482,7496.52
2024-01-01,1562.0,2024,4.9753,7771.42
2024-02-01,1592.0,2024,4.9753,7920.68
2024-03-01,1614.0,2024,4.9753,8030.13
2024-04-01,1628.0,2024,4.9753,8099.79
2024-05-01,1638.0,2024,4.9753,8149.54
2024-06-01,1654.0,2024,4.9753,8229.15
2024-07-01,1675.0,2024,4.9753,8333.63
2024-08-01,1687.0,2024,4.9753,8393.33
2024-09-01,1733.0,2024,4.9753,8622.19
2024-10-01,1749.0,2024,4.9753,8701.8
2024-11-01,1776.0,2024,4.9753,8836.13
2024-12-01,1819.0,2024,4.9753,9050.07
2025-01-01,1838.0,2025,5.0382,9260.21
2025-02-01,1895.0,2025,5.0382,9547.39
2025-03-01,1944.0,2025,5.0382,9794.26
2025-04-01,1969.0,2025,5.0382,9920.22
2025-05-01,1979.0,2025,5.0382,9970.6
2025-06-01,2043.0,2025,5.0382,10293.04
2025-07-01,2034.0,2025,5.0382,10247.7
2025-08-01,2041.0,2025,5.0382,10282.97
2025-09-01,2070.0,2025,5.0382,10429.07
2025-10-01,2070.0,2025,5.0382,10429.07
