An,price_real,base_pred,gbr_pred,lgbm_pred,xgb_pred,cat_pred,et_pred,ngb_pred,resid_pred,hybrid_pred,gpr_pred,gpr_std,gpr_low_95,gpr_high_95
2023,7350.96,6835.446707319048,7127.679909898649,4605.047252308239,6464.644,7248.231238686763,6980.17868999999,7091.897605658542,8.060121637425453,6843.506828956473,7424.9509492969655,494.1609365748795,6456.395513610201,8393.50638498373
2024,8344.82,6694.266067574595,7017.733594515626,4605.047252308239,6814.0796,7175.131818387828,6936.8498099999815,7003.562877677443,-6.485051091425769,6687.781016483169,7292.484148976316,922.6102475626755,5484.168063753472,9100.80023419916
2025,10017.45,7033.432973669099,7127.679909898649,4605.047252308239,6814.0796,7248.231238686763,6994.879559999993,7091.897605658542,8.060121637425453,7041.493095306524,7291.801868616129,1060.5945340701037,5213.036581838725,9370.567155393532
