,0
1913-10-01,-40202874027.92993
1913-11-01,-40112653716.73779
1913-12-01,-40022568483.72101
1914-01-01,-39932618227.685486
1914-02-01,-39842802847.434814
1914-03-01,-39753122241.77368
1914-04-01,-39663576309.50653
1914-05-01,-39574164949.43805
1914-06-01,-39484888060.37244
1914-07-01,-39395745541.11456
1914-08-01,-39306737290.46869
1914-09-01,-39217863207.23895
1914-10-01,-39129123190.23059
1914-11-01,-39040517138.247925
1914-12-01,-38952044950.09448
1915-01-01,-38863706524.57605
1915-02-01,-38775501760.49658
1915-03-01,-38687430556.66046
1915-04-01,-38599492811.87219
1915-05-01,-38511688424.936584
1915-06-01,-38424017294.65741
1915-07-01,-38336479319.84003
1915-08-01,-38249074399.288574
1915-09-01,-38161802431.80731
1915-10-01,-38074663316.20117
1915-11-01,-37987656951.273926
1915-12-01,-37900783235.831055
1916-01-01,-37814042068.67633
1916-02-01,-37727433348.61432
1916-03-01,-37640956974.44946
1916-04-01,-37554612844.98682
1916-05-01,-37468400859.03058
1916-06-01,-37382320915.38458
1916-07-01,-37296372912.854126
1916-08-01,-37210556750.243774
1916-09-01,-37124872326.357056
1916-10-01,-37039319539.99951
1916-11-01,-36953898289.97534
1916-12-01,-36868608475.08826
1917-01-01,-36783449994.144165
1917-02-01,-36698422745.946594
1917-03-01,-36613526629.29968
1917-04-01,-36528761543.00891
1917-05-01,-36444127385.87836
1917-06-01,-36359624056.712036
1917-07-01,-36275251454.31531
1917-08-01,-36191009477.49225
1917-09-01,-36106898025.046936
1917-10-01,-36022916995.78479
1917-11-01,-35939066288.50964
1917-12-01,-35855345802.02545
1918-01-01,-35771755435.138
1918-02-01,-35688295086.65112
1918-03-01,-35604964655.368835
1918-04-01,-35521764040.09662
1918-05-01,-35438693139.63843
1918-06-01,-35355751852.79852
1918-07-01,-35272940078.38159
1918-08-01,-35190257715.19269
1918-09-01,-35107704662.03534
1918-10-01,-35025280817.71472
1918-11-01,-34942986081.03497
1918-12-01,-34860820350.80066
1919-01-01,-34778783525.81659
1919-02-01,-34696875504.8869
1919-03-01,-34615096186.81586
1919-04-01,-34533445470.40863
1919-05-01,-34451923254.46936
1919-06-01,-34370529437.80194
1919-07-01,-34289263919.211914
1919-08-01,-34208126597.503418
1919-09-01,-34127117371.480347
1919-10-01,-34046236139.947998
1919-11-01,-33965482801.710632
1919-12-01,-33884857255.57263
1920-01-01,-33804359400.338013
1920-02-01,-33723989134.812317
1920-03-01,-33643746357.79901
1920-04-01,-33563630968.102905
1920-05-01,-33483642864.528778
1920-06-01,-33403781945.881317
1920-07-01,-33324048110.964264
1920-08-01,-33244441258.583008
1920-09-01,-33164961287.540985
1920-10-01,-33085608096.643127
1920-11-01,-33006381584.69461
1920-12-01,-32927281650.49884
1921-01-01,-32848308192.8609
1921-02-01,-32769461110.585083
1921-03-01,-32690740302.476257
1921-04-01,-32612145667.338684
1921-05-01,-32533677103.976624
1921-06-01,-32455334511.194855
1921-07-01,-32377117787.797577
1921-08-01,-32299026832.5896
1921-09-01,-32221061544.37494
1921-10-01,-32143221821.95871
1921-11-01,-32065507564.14502
1921-12-01,-31987918669.738434
1922-01-01,-31910455037.54364
1922-02-01,-31833116566.364685
1922-03-01,-31755903155.006622
1922-04-01,-31678814702.2735
1922-05-01,-31601851106.97
1922-06-01,-31525012267.900024
1922-07-01,-31448298083.869385
1922-08-01,-31371708453.681396
1922-09-01,-31295243276.14096
1922-10-01,-31218902450.052673
1922-11-01,-31142685874.220673
1922-12-01,-31066593447.44998
1923-01-01,-30990625068.54431
1923-02-01,-30914780636.30899
1923-03-01,-30839060049.548004
1923-04-01,-30763463207.06595
1923-05-01,-30687990007.667603
1923-06-01,-30612640350.15677
1923-07-01,-30537414133.338623
1923-08-01,-30462311256.017487
1923-09-01,-30387331616.997498
1923-10-01,-30312475115.083374
1923-11-01,-30237741649.079987
1923-12-01,-30163131117.791077
1924-01-01,-30088643420.02188
1924-02-01,-30014278454.576385
1924-03-01,-29940036120.25885
1924-04-01,-29865916315.87494
1924-05-01,-29791918940.227966
1924-06-01,-29718043892.12262
1924-07-01,-29644291070.36371
1924-08-01,-29570660373.755768
1924-09-01,-29497151701.1026
1924-10-01,-29423764951.20984
1924-11-01,-29350500022.881104
1924-12-01,-29277356814.920654
1925-01-01,-29204335226.134186
1925-02-01,-29131435155.325226
1925-03-01,-29058656501.298462
1925-04-01,-28985999162.858093
1925-05-01,-28913463038.809235
1925-06-01,-28841048027.955963
1925-07-01,-28768754029.102997
1925-08-01,-28696580941.054596
1925-09-01,-28624528662.615173
1925-10-01,-28552597092.589813
1925-11-01,-28480786129.78244
1925-12-01,-28409095672.99768
1926-01-01,-28337525621.039886
1926-02-01,-28266075872.71396
1926-03-01,-28194746326.8237
1926-04-01,-28123536882.17444
1926-05-01,-28052447437.570312
1926-06-01,-27981477891.815247
1926-07-01,-27910628143.714813
1926-08-01,-27839898092.072815
1926-09-01,-27769287635.693756
1926-10-01,-27698796673.381866
1926-11-01,-27628425103.942688
1926-12-01,-27558172826.179474
1927-01-01,-27488039738.89734
1927-02-01,-27418025740.90094
1927-03-01,-27348130730.994263
1927-04-01,-27278354607.98221
1927-05-01,-27208697270.66913
1927-06-01,-27139158617.859253
1927-07-01,-27069738548.357574
1927-08-01,-27000436960.968292
1927-09-01,-26931253754.495758
1927-10-01,-26862188827.744934
1927-11-01,-26793242079.519775
1927-12-01,-26724413408.624878
1928-01-01,-26655702713.865112
1928-02-01,-26587109894.044525
1928-03-01,-26518634847.96811
1928-04-01,-26450277474.439728
1928-05-01,-26382037672.264282
1928-06-01,-26313915340.24597
1928-07-01,-26245910377.18988
1928-08-01,-26178022681.89969
1928-09-01,-26110252153.18048
1928-10-01,-26042598689.8367
1928-11-01,-25975062190.672546
1928-12-01,-25907642554.492676
1929-01-01,-25840339680.1015
1929-02-01,-25773153466.30362
1929-03-01,-25706083811.90341
1929-04-01,-25639130615.70529
1929-05-01,-25572293776.51413
1929-06-01,-25505573193.13391
1929-07-01,-25438968764.36969
1929-08-01,-25372480389.025543
1929-09-01,-25306107965.90625
1929-10-01,-25239851393.815613
1929-11-01,-25173710571.559113
1929-12-01,-25107685397.940582
1930-01-01,-25041775771.76474
1930-02-01,-24975981591.835785
1930-03-01,-24910302756.95874
1930-04-01,-24844739165.937622
1930-05-01,-24779290717.57733
1930-06-01,-24713957310.681824
1930-07-01,-24648738844.055786
1930-08-01,-24583635216.50421
1930-09-01,-24518646326.83081
1930-10-01,-24453772073.840668
1930-11-01,-24389012356.338257
1930-12-01,-24324367073.12732
1931-01-01,-24259836123.013153
1931-02-01,-24195419404.80011
1931-03-01,-24131116817.29254
1931-04-01,-24066928259.2948
1931-05-01,-24002853629.611603
1931-06-01,-23938892827.04715
1931-07-01,-23875045750.406647
1931-08-01,-23811312298.493713
1931-09-01,-23747692370.11319
1931-10-01,-23684185864.069763
1931-11-01,-23620792679.167694
1931-12-01,-23557512714.21167
1932-01-01,-23494345868.005646
1932-02-01,-23431292039.354736
1932-03-01,-23368351127.06305
1932-04-01,-23305523029.935272
1932-05-01,-23242807646.776215
1932-06-01,-23180204876.389465
1932-07-01,-23117714617.580353
1932-08-01,-23055336769.152893
1932-09-01,-22993071229.911835
1932-10-01,-22930917898.661377
1932-11-01,-22868876674.20633
1932-12-01,-22806947455.351227
1933-01-01,-22745130140.900208
1933-02-01,-22683424629.65802
1933-03-01,-22621830820.428925
1933-04-01,-22560348612.017822
1933-05-01,-22498977903.228577
1933-06-01,-22437718592.866455
1933-07-01,-22376570579.735443
1933-08-01,-22315533762.639862
1933-09-01,-22254608040.384735
1933-10-01,-22193793311.7742
1933-11-01,-22133089475.612915
1933-12-01,-22072496430.704956
1934-01-01,-22012014075.855408
1934-02-01,-21951642309.86844
1934-03-01,-21891381031.548645
