An,price_per_sqm,gpr_pred_in_sample,gpr_low_95,gpr_high_95
1966,817.25,817.8854963115327,807.0178540794592,828.7531385436063
1967,832.38,829.7204111861317,818.785557890609,840.6552644816545
1968,845.91,844.2449334573116,833.2062192734585,855.2836476411647
1969,856.75,857.1009814243286,846.0803363940802,868.1216264545769
1970,870.63,868.4743020444214,857.31424422437,879.6343598644728
1971,888.09,887.7779563533279,876.6625446539648,898.893368052691
1972,901.31,905.429874710004,893.7200142716528,917.1397351483553
1973,919.31,916.3969727499885,905.4328053265987,927.3611401733784
1974,925.6,930.769390209409,919.5172785349722,942.0215018838459
1975,941.84,940.3859091739007,928.745031545943,952.0267868018584
1976,956.22,953.9926570865055,942.9831553030604,965.0021588699506
1977,969.7,966.9453109363812,955.8038909457124,978.0867309270501
1978,984.51,981.8976738371981,970.9558594223423,992.8394882520539
1979,993.59,996.2681985516338,985.3337379305485,1007.202659172719
1980,1007.87,1008.0713722058509,996.8256638982484,1019.3170805134534
1981,1024.01,1024.8082411272705,1013.3484763293533,1036.268005925188
1982,1043.6,1043.8286405811657,1029.401202605472,1058.2560785568594
1983,1057.77,1064.088792770386,1052.1840522719824,1075.9935332687894
1984,1071.32,1067.9870766048366,1056.6631007198291,1079.311052489844
1985,1085.95,1083.6758353783518,1072.4272865173148,1094.924384239389
1986,1104.86,1101.151696881197,1089.8731767363906,1112.4302170260034
1987,1122.38,1119.4897321724166,1107.976991767951,1131.0024725768822
1988,1137.69,1150.6421479990236,1139.523871576734,1161.760424421313
1989,1156.23,1160.049721390649,1147.6619587613693,1172.4374840199287
1990,1235.78,1226.5359222629281,1212.7027033922811,1240.369141133575
1991,1265.46,1265.458465431608,1250.967874244491,1279.9490566187249
1992,1262.49,1262.4838577942087,1247.9927093811307,1276.9750062072867
1993,1257.48,1257.483038609609,1242.991350303781,1271.9747269154368
1994,1164.04,1164.0364869333384,1149.5455539051034,1178.5274199615735
1995,1184.05,1184.3387913884162,1169.869792419208,1198.8077903576245
1996,1206.34,1206.0233046228575,1191.558450648199,1220.488158597516
1997,1207.01,1207.028863214774,1192.5371364175676,1221.5205900119804
1998,1179.04,1178.8129732005934,1164.3312185473214,1193.2947278538654
1999,1262.23,1263.393278276891,1248.974311176066,1277.8122453777157
2000,1448.67,1447.4351390605655,1433.0141143523394,1461.8561637687915
2001,1567.42,1568.6853187324054,1554.2501260003005,1583.1205114645104
2002,1749.42,1748.468385835356,1734.0049129255137,1762.9318587451983
2003,1955.95,1955.0148915862867,1940.5546070430264,1969.475176129547
2004,2170.25,2171.293632990949,2156.8596332345364,2185.7276327473614
2005,2405.86,2405.8572276524665,2391.365437671108,2420.349017633825
2006,2673.6,2674.124282352042,2659.7190106217945,2688.5295540822895
2007,2973.11,2972.2076431689834,2957.7730307136394,2986.6422556243274
2008,2615.96,2616.272986030888,2601.785415786529,2630.7605562752474
2009,2329.88,2329.724654304579,2315.23808422037,2344.2112243887877
2010,2043.36,2043.3267205539985,2028.8448700244242,2057.808571083573
2011,2118.08,2118.288654780268,2103.803307577122,2132.7740019834146
2012,3237.03,3236.8567722772204,3222.3669115869557,3251.346632967485
2013,3179.4,3179.412999806986,3164.9217270889976,3193.9042725249747
2014,3191.97,3191.7578868968026,3177.270791155366,3206.244982638239
2015,3305.01,3305.739673060204,3291.267940639807,3320.211405480601
2016,3722.13,3721.7599946022983,3707.279318933544,3736.2406702710527
2017,4474.12,4474.217891060582,4459.729612142926,4488.706169978237
2018,5075.79,5075.426481545867,5060.937581673867,5089.915381417868
2019,5208.78,5209.215533751391,5194.726841373386,5223.704226129396
2020,5692.44,5692.224915327133,5677.73393838802,5706.715892266247
2021,6397.56,6397.559739973597,6383.068064868625,6412.051415078569
2022,7171.29,7171.233395480403,7156.741737714604,7185.725053246201
2023,7350.96,7350.994123943919,7336.5025171882535,7365.485730699584
2024,8344.82,8344.870340163516,8330.378722038535,8359.361958288497
2025,10017.45,10017.375220027214,10002.883515072635,10031.866924981792
