date,price_trend_logistic,residual_smoothed,price_final,is_observed
1936-03-01,3000.408117274142,0.0,3000.408117274142,False
1936-04-01,3000.4113919062493,0.0,3000.4113919062493,False
1936-05-01,3000.414692816827,0.0,3000.414692816827,False
1936-06-01,3000.418020216814,0.0,3000.418020216814,False
1936-07-01,3000.4213743188443,0.0,3000.4213743188443,False
1936-08-01,3000.4247553372593,0.0,3000.4247553372593,False
1936-09-01,3000.4281634881227,0.0,3000.4281634881227,False
1936-10-01,3000.431598989232,0.0,3000.431598989232,False
1936-11-01,3000.435062060136,0.0,3000.435062060136,False
1936-12-01,3000.4385529221454,0.0,3000.4385529221454,False
1937-01-01,3000.4420717983485,0.0,3000.4420717983485,False
1937-02-01,3000.4456189136267,0.0,3000.4456189136267,False
1937-03-01,3000.4491944946662,0.0,3000.4491944946662,False
1937-04-01,3000.4527987699753,0.0,3000.4527987699753,False
1937-05-01,3000.456431969897,0.0,3000.456431969897,False
1937-06-01,3000.460094326624,0.0,3000.460094326624,False
1937-07-01,3000.463786074216,0.0,3000.463786074216,False
1937-08-01,3000.4675074486104,0.0,3000.4675074486104,False
1937-09-01,3000.471258687641,0.0,3000.471258687641,False
1937-10-01,3000.475040031052,0.0,3000.475040031052,False
1937-11-01,3000.478851720514,0.0,3000.478851720514,False
1937-12-01,3000.482693999637,0.0,3000.482693999637,False
1938-01-01,3000.4865671139905,0.0,3000.4865671139905,False
1938-02-01,3000.4904713111146,0.0,3000.4904713111146,False
1938-03-01,3000.494406840539,0.0,3000.494406840539,False
1938-04-01,3000.498373953797,0.0,3000.498373953797,False
1938-05-01,3000.5023729044433,0.0,3000.5023729044433,False
1938-06-01,3000.50640394807,0.0,3000.50640394807,False
1938-07-01,3000.5104673423207,0.0,3000.5104673423207,False
1938-08-01,3000.51456334691,0.0,3000.51456334691,False
1938-09-01,3000.5186922236394,0.0,3000.5186922236394,False
1938-10-01,3000.522854236413,0.0,3000.522854236413,False
1938-11-01,3000.5270496512544,0.0,3000.5270496512544,False
1938-12-01,3000.531278736326,0.0,3000.531278736326,False
1939-01-01,3000.535541761943,0.0,3000.535541761943,False
1939-02-01,3000.539839000593,0.0,3000.539839000593,False
1939-03-01,3000.5441707269533,0.0,3000.5441707269533,False
1939-04-01,3000.5485372179073,0.0,3000.5485372179073,False
1939-05-01,3000.5529387525635,0.0,3000.5529387525635,False
1939-06-01,3000.557375612272,0.0,3000.557375612272,False
1939-07-01,3000.5618480806447,0.0,3000.5618480806447,False
1939-08-01,3000.566356443571,0.0,3000.566356443571,False
1939-09-01,3000.5709009892385,0.0,3000.5709009892385,False
1939-10-01,3000.5754820081484,0.0,3000.5754820081484,False
1939-11-01,3000.580099793139,0.0,3000.580099793139,False
1939-12-01,3000.584754639399,0.0,3000.584754639399,False
1940-01-01,3000.5894468444903,0.0,3000.5894468444903,False
1940-02-01,3000.594176708365,0.0,3000.594176708365,False
1940-03-01,3000.5989445333857,0.0,3000.5989445333857,False
1940-04-01,3000.6037506243447,0.0,3000.6037506243447,False
1940-05-01,3000.608595288484,0.0,3000.608595288484,False
1940-06-01,3000.613478835514,0.0,3000.613478835514,False
1940-07-01,3000.6184015776325,0.0,3000.6184015776325,False
1940-08-01,3000.6233638295485,0.0,3000.6233638295485,False
1940-09-01,3000.6283659084984,0.0,3000.6283659084984,False
1940-10-01,3000.6334081342684,0.0,3000.6334081342684,False
1940-11-01,3000.6384908292143,0.0,3000.6384908292143,False
