Timp,indice_to_2021
 Luna august 2022,127.9
 Luna septembrie 2022,125.7
 Luna octombrie 2022,127.5
 Luna noiembrie 2022,128.9
 Luna decembrie 2022,123
 Luna ianuarie 2023,123.6
 Luna februarie 2023,122.9
 Luna martie 2023,124.1
 Luna aprilie 2023,123.9
 Luna mai 2023,122.8
 Luna iunie 2023,124.2
 Luna iulie 2023,124.9
 Luna august 2023,126.9
 Luna septembrie 2023,129.9
 Luna octombrie 2023,126.8
 Luna noiembrie 2023,124.6
 Luna decembrie 2023,120.7
 Luna ianuarie 2024,130.5
 Luna februarie 2024,129.6
 Luna martie 2024,133
 Luna aprilie 2024,136.7
 Luna mai 2024,136.9
 Luna iunie 2024,136.3
 Luna iulie 2024,138.1
 Luna august 2024,131
 Luna septembrie 2024,129.6
 Luna octombrie 2024,130.3
 Luna noiembrie 2024,128
 Luna decembrie 2024,129
 Luna ianuarie 2025,129.3
 Luna februarie 2025,129.2
 Luna martie 2025,131.7
 Luna aprilie 2025,132.2
 Luna mai 2025,131.7
 Luna iunie 2025,135.3
 Luna iulie 2025,130.9
 Luna august 2025,133.4
 Luna septembrie 2025,134.4
