date,price_trend_logistic,residual_smoothed,price_final,is_observed
1900-01-01,-134.24061719331036,0.0,-134.24061719331036,False
1900-02-01,-137.74144840839855,0.0,-137.74144840839855,False
1900-03-01,-141.31363146292617,0.0,-141.31363146292617,False
1900-04-01,-144.9588065816864,0.0,-144.9588065816864,False
1900-05-01,-148.6786589075837,0.0,-148.6786589075837,False
1900-06-01,-152.47492001126594,0.0,-152.47492001126594,False
1900-07-01,-156.34936946243582,0.0,-156.34936946243582,False
1900-08-01,-160.3038364658105,0.0,-160.3038364658105,False
1900-09-01,-164.34020156488694,0.0,-164.34020156488694,False
1900-10-01,-168.4603984168228,0.0,-168.4603984168228,False
1900-11-01,-172.66641564193085,0.0,-172.66641564193085,False
1900-12-01,-176.96029875150646,0.0,-176.96029875150646,False
1901-01-01,-181.34415215789113,0.0,-181.34415215789113,False
1901-02-01,-185.82014127092262,0.0,-185.82014127092262,False
1901-03-01,-190.39049468513895,0.0,-190.39049468513895,False
1901-04-01,-195.05750646239096,0.0,-195.05750646239096,False
1901-05-01,-199.8235385147646,0.0,-199.8235385147646,False
1901-06-01,-204.6910230930061,0.0,-204.6910230930061,False
1901-07-01,-209.66246538597778,0.0,-209.66246538597778,False
1901-08-01,-214.74044623698063,0.0,-214.74044623698063,False
1901-09-01,-219.9276249831292,0.0,-219.9276249831292,False
1901-10-01,-225.22674242437597,0.0,-225.22674242437597,False
1901-11-01,-230.64062392915332,0.0,-230.64062392915332,False
1901-12-01,-236.1721826840402,0.0,-236.1721826840402,False
1902-01-01,-241.82442309534537,0.0,-241.82442309534537,False
1902-02-01,-247.60044435097478,0.0,-247.60044435097478,False
1902-03-01,-253.50344415147384,0.0,-253.50344415147384,False
1902-04-01,-259.53672261974214,0.0,-259.53672261974214,False
1902-05-01,-265.70368639948737,0.0,-265.70368639948737,False
1902-06-01,-272.0078529531743,0.0,-272.0078529531743,False
1902-07-01,-278.45285507089346,0.0,-278.45285507089346,False
1902-08-01,-285.04244560237754,0.0,-285.04244560237754,False
1902-09-01,-291.78050242516804,0.0,-291.78050242516804,False
1902-10-01,-298.6710336628125,0.0,-298.6710336628125,False
1902-11-01,-305.7181831679452,0.0,-305.7181831679452,False
1902-12-01,-312.9262362860899,0.0,-312.9262362860899,False
1903-01-01,-320.2996259171052,0.0,-320.2996259171052,False
1903-02-01,-327.8429388924184,0.0,-327.8429388924184,False
1903-03-01,-335.56092268742196,0.0,-335.56092268742196,False
1903-04-01,-343.45849248977584,0.0,-343.45849248977584,False
1903-05-01,-351.5407386458911,0.0,-351.5407386458911,False
1903-06-01,-359.81293450941115,0.0,-359.81293450941115,False
1903-07-01,-368.28054471729024,0.0,-368.28054471729024,False
1903-08-01,-376.9492339208966,0.0,-376.9492339208966,False
1903-09-01,-385.82487600166024,0.0,-385.82487600166024,False
1903-10-01,-394.91356380294314,0.0,-394.91356380294314,False
1903-11-01,-404.22161941219713,0.0,-404.22161941219713,False
1903-12-01,-413.75560503012167,0.0,-413.75560503012167,False
1904-01-01,-423.5223344663032,0.0,-423.5223344663032,False
1904-02-01,-433.5288853038863,0.0,-433.5288853038863,False
1904-03-01,-443.78261177921064,0.0,-443.78261177921064,False
1904-04-01,-454.29115842593836,0.0,-454.29115842593836,False
1904-05-01,-465.0624745371472,0.0,-465.0624745371472,False
1904-06-01,-476.10482950324945,0.0,-476.10482950324945,False
1904-07-01,-487.4268290882429,0.0,-487.4268290882429,False
1904-08-01,-499.0374327120087,0.0,-499.0374327120087,False
1904-09-01,-510.94597181195445,0.0,-510.94597181195445,False
1904-10-01,-523.1621693635462,0.0,-523.1621693635462,False
1904-11-01,-535.6961606459791,0.0,-535.6961606459791,False
1904-12-01,-548.5585153466444,0.0,-548.5585153466444,False
1905-01-01,-561.7602611062638,0.0,-561.7602611062638,False
1905-02-01,-575.3129086154422,0.0,-575.3129086154422,False
1905-03-01,-589.22847838323,0.0,-589.22847838323,False
1905-04-01,-603.5195293091888,0.0,-603.5195293091888,False
1905-05-01,-618.1991892023357,0.0,-618.1991892023357,False
1905-06-01,-633.2811874035071,0.0,-633.2811874035071,False
1905-07-01,-648.7798896823266,0.0,-648.7798896823266,False
1905-08-01,-664.7103355959717,0.0,-664.7103355959717,False
1905-09-01,-681.0882785147656,0.0,-681.0882785147656,False
1905-10-01,-697.9302285394424,0.0,-697.9302285394424,False
1905-11-01,-715.2534985567601,0.0,-715.2534985567601,False
1905-12-01,-733.0762537045667,0.0,-733.0762537045667,False
1906-01-01,-751.4175645444258,0.0,-751.4175645444258,False
1906-02-01,-770.2974642702004,0.0,-770.2974642702004,False
1906-03-01,-789.73701031456,0.0,-789.73701031456,False
1906-04-01,-809.7583507529431,0.0,-809.7583507529431,False
1906-05-01,-830.3847959466563,0.0,-830.3847959466563,False
1906-06-01,-851.6408959137593,0.0,-851.6408959137593,False
1906-07-01,-873.5525239691751,0.0,-873.5525239691751,False
1906-08-01,-896.1469672348743,0.0,-896.1469672348743,False
1906-09-01,-919.4530246875928,0.0,-919.4530246875928,False
1906-10-01,-943.5011134866745,0.0,-943.5011134866745,False
1906-11-01,-968.3233844095894,0.0,-968.3233844095894,False
1906-12-01,-993.9538473183802,0.0,-993.9538473183802,False
1907-01-01,-1020.4285076889669,0.0,-1020.4285076889669,False
1907-02-01,-1047.7855153582273,0.0,-1047.7855153582273,False
1907-03-01,-1076.0653267838338,0.0,-1076.0653267838338,False
1907-04-01,-1105.3108822709492,0.0,-1105.3108822709492,False
1907-05-01,-1135.5677998014862,0.0,-1135.5677998014862,False
1907-06-01,-1166.8845873093644,0.0,-1166.8845873093644,False
1907-07-01,-1199.3128754826905,0.0,-1199.3128754826905,False
1907-08-01,-1232.9076734464834,0.0,-1232.9076734464834,False
1907-09-01,-1267.7276499932989,0.0,-1267.7276499932989,False
1907-10-01,-1303.835443390307,0.0,-1303.835443390307,False
1907-11-01,-1341.298003208736,0.0,-1341.298003208736,False
1907-12-01,-1380.1869681050396,0.0,-1380.1869681050396,False
1908-01-01,-1420.5790840437153,0.0,-1420.5790840437153,False
1908-02-01,-1462.5566681044158,0.0,-1462.5566681044158,False
1908-03-01,-1506.2081237769478,0.0,-1506.2081237769478,False
1908-04-01,-1551.6285145383363,0.0,-1551.6285145383363,False
1908-05-01,-1598.9202035501512,0.0,-1598.9202035501512,False
1908-06-01,-1648.1935685426342,0.0,-1648.1935685426342,False
